D test LRT 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 null 0 
5 causal 198.9895 
5 causal 14.03575 
5 causal 42.72785 
5 causal 45.16124 
5 causal 58.1908 
5 causal 42.71862 
5 causal 101.8495 
5 causal 116.2463 
5 causal 95.25056 
5 causal 71.55312 
5 causal 63.03072 
5 causal 48.4219 
5 causal 83.60807 
5 causal 39.60173 
5 causal 15.32549 
5 causal 52.04107 
5 causal 25.18434 
5 causal 22.56212 
5 causal 98.88198 
5 causal 127.4882 
5 causal 92.46802 
5 causal 99.58626 
5 causal 99.43086 
5 causal 45.72344 
5 causal 97.92783 
5 causal 41.34378 
5 causal 118.792 
5 causal 64.4098 
5 causal 88.72788 
5 causal 66.91835 
5 causal 33.29294 
5 causal 79.88352 
5 causal 70.03155 
5 causal 24.75861 
5 causal 71.71802 
5 causal 25.01216 
5 causal 68.49869 
5 causal 66.27869 
5 causal 122.0782 
5 causal 91.98445 
5 causal 70.11226 
5 causal 64.53665 
5 causal 110.9697 
5 causal 27.61436 
5 causal 40.252 
5 causal 31.75097 
5 causal 39.36399 
5 causal 125.3241 
5 causal 55.55035 
5 causal 101.3442 
5 causal 22.59779 
5 causal 41.91011 
5 causal 122.4472 
5 causal 89.0085 
5 causal 102.4858 
5 causal 77.79838 
5 causal 38.16403 
5 causal 68.41064 
5 causal 72.82191 
5 causal 69.90998 
5 causal 38.32619 
5 causal 60.22303 
5 causal 48.10268 
5 causal 11.50292 
5 causal 105.8729 
5 causal 59.32553 
5 causal 66.15096 
5 causal 58.0266 
5 causal 142.099 
5 causal 75.72153 
5 causal 79.02565 
5 causal 28.75131 
5 causal 110.0702 
5 causal 40.2664 
5 causal 49.7933 
5 causal 23.33661 
5 causal 44.20892 
5 causal 64.72404 
5 causal 35.71864 
5 causal 45.2935 
5 causal 93.96277 
5 causal 100.451 
5 causal 51.29154 
5 causal 242.3348 
5 causal 46.62735 
5 causal 53.12888 
5 causal 12.83109 
5 causal 106.3546 
5 causal 163.1287 
5 causal 40.4371 
5 causal 87.01257 
5 causal 79.1432 
5 causal 50.86396 
5 causal 53.86867 
5 causal 29.42252 
5 causal 37.32946 
5 causal 41.74836 
5 causal 143.8313 
5 causal 97.02217 
5 causal 150.1024 
